casenumber,counts,location,month,offense_desc,reported_date,reporting_officer,statute_code,statute_desc,year,hour,minute,day,lon,lat
2017-00111938,1,88 Ellery St,10,Traffic Violation,2017-10-25 12:50:00,MMena-Torres,31-3-1,Parking or MV Violation,2017,12,50,25,-71.4381505,41.81067575
2018-00014529,1,188 Douglas Ave,2,Larceny from Motor Vehicle,2018-02-10 10:35:00,Central Station,11-41-1,LARCENY/U $1500 - FROM MV,2018,10,35,10,-71.4223542,41.836975
2018-00020241,1,21 Middleton St,2,"Assault, Simple",2018-02-26 00:25:00,PCaminero,11-5-3,SIMPLE ASSAULT/BATTERY,2018,0,25,26,-71.4669756255386,41.8204462506056
2017-00112135,1,539 Smith St,10,Weapons,2017-10-25 20:30:29,VPazzetta,11-47-42,WEAPONS OTHER THAN FIREARMS PROHIBITED,2017,20,30,25,-71.4291035,41.8367646
2017-00119459,1,960 Broad St,11,Vandalism,2017-11-13 09:06:59,RChin,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2017,9,6,13,-71.41445859999997,41.7986237
2017-00130714,1,111 Merino St,12,Traffic Violation,2017-12-13 21:47:00,CVingi,31-11-18,"Driving after Denial, Suspension or Revocation of License",2017,21,47,13,-71.45828409999999,41.8168094
2018-00020122,1,825 Chalkstone Ave,2,Larceny from Building,2018-02-25 16:33:00,GScarcello,11-41-1,LARCENY/U $1500 - FROM BLD,2018,16,33,25,-71.43507659999999,41.8346874
2018-00007969,1,10 Monticello St,1,Weapons,2018-01-23 15:28:00,ZSilbert,11-47-5,POSS OF ARMS BY CONVICT IN CRIME OF VIOL/FUGITIVE,2018,15,28,23,-71.4214178349905,41.851443059421705
2018-00020134,1,Bridgham St At Cranston St,2,Traffic Violation,2018-02-25 17:14:00,MTroia,31-3-1,Operation of Unregistered Vehicle,2018,17,14,25,,
2018-00025915,1,147 Althea St,3,Burglary,2018-03-13 11:55:02,TGomes,11-8-1,BURGLARY,2018,11,55,13,-71.4342523,41.8077324
2018-00020233,1,Potters Ave At Bucklin St,2,Warrant\Capias,2018-02-26 00:06:00,INerney,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,2018,0,6,26,,
2017-00112094,1,Huntington Ave At Dexter St,10,Traffic Violation,2017-10-25 18:30:00,KMatsumoto,31-15-3,Left Of Center Passing of Vehicle Proceeding in Opposite Direction,2017,18,30,25,,
2017-00111928,1,173 Julian St,10,Disorderly Conduct,2017-10-25 12:36:00,Central Station,11-45-1,DISORDERLY CONDUCT,2017,12,36,25,-71.4444541,41.8240296
2017-00112038,0,458 Smithfield Ave,10,Property Damage,2017-10-25 15:50:00,EBreault,Not Used,No violations,2017,15,50,25,-71.41146490000001,41.8584599
2018-00000911,0,131 W  Park St,1,Fraud,2018-01-03 16:34:00,Central Station,Not Used,No violations,2018,16,34,3,-71.4223985241755,41.8324412009292
2017-00130602,0,Cranston Street ,12,Lost Article,2017-12-13 16:30:00,Central Station,Not Used,No violations,2017,16,30,13,-71.474518,41.765305
2017-00119132,1,39 Ring St,11,Robbery,2017-11-12 03:12:00,LFerreras,11-39-1,ROBBERY-1ST DEGREE,2017,3,12,12,-71.4322826,41.8207664
2017-00130599,1,6 Hawthorne Rd ,12,Receiving Stolen Property,2017-12-13 16:21:00,DLiu,11-41-2,RECEIVING STOLEN GOODS-MISDEMEANOR,2017,16,21,13,-71.5529264583333,41.8801167916667
2017-00122971,1,497 Manton Ave,11,"Fraud, Swindle",2017-11-22 11:28:00,Central Station,11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,2017,11,28,22,-71.4568553,41.826001700000006
