casenumber,counts,location,month,offense_desc,reported_date,reporting_officer,statute_code,statute_desc,year,offense_cat,hour,minute,day,lat,lon,city,neighborhood
2018-00034077,1,57 Babcock St,4,Motor Vehicle Theft,2018-04-06 04:39:00,BMcParlin,11-41-1,LARCENY/O $1500 - AUTO THEFT,2018,property_crime,4,39,6,,,,
2018-00034068,1,157 Webster Ave,4,Disorderly Conduct,2018-04-06 02:53:00,JPerez,11-45-1,DISORDERLY CONDUCT,2018,other_crime,2,53,6,,,,
2018-00034068,1,157 Webster Ave,4,RI Statute Violation,2018-04-06 02:53:00,JPerez,12-29-4,VIOLATION -NO CONTACT ORDER,2018,other_crime,2,53,6,,,,
2018-00034068,1,157 Webster Ave,4,"Assault, Simple",2018-04-06 02:53:00,JPerez,11-5-3,SIMPLE ASSAULT/BATTERY,2018,other_crime,2,53,6,,,,
2018-00034052,1,Puritanatanthony ,4,Drug Offenses,2018-04-06 01:35:00,MJennette,21-28-4.01-A2A,MANUFAC/POSS/DELIVER SCH 1/II,2018,other_crime,1,35,6,,,,
2018-00034048,1,160 Benedict St ,4,Warrant\Capias,2018-04-06 01:18:00,RFedo,BWARRANT-6D,BENCH WARRANT ISSUED FROM 6TH DISTRICT COURT,2018,other_crime,1,18,6,,,,
2018-00034036,1,Chad Brownatpinehurst ,4,Municipal Code Violation,2018-04-06 00:41:00,SMarmas,Sec. 23-32.  ," Possession ,of alcoholic beverages on any public street, sidewalk, licensed parking lot, way or grounds owned by city.",2018,other_crime,0,41,6,,,,
2018-00034018,1,Mt Pleasant Ave At Atwells Ave,4,Larceny from Motor Vehicle,2018-04-05 23:44:14,SRomano,11-41-1,LARCENY/O $1500 - FROM MV,2018,property_crime,23,44,5,,,,
2018-00034014,1,1 Cadillac Dr,4,Warrant\Capias,2018-04-05 23:37:00,FTavares,BWARRANT-6D,BENCH WARRANT ISSUED FROM 6TH DISTRICT COURT,2018,other_crime,23,37,5,,,,
2018-00034007,1,Point St At Chestnut St,4,Larceny from Motor Vehicle,2018-04-05 22:41:24,MDuffy,11-41-1,LARCENY/U $1500 - FROM MV,2018,property_crime,22,41,5,,,,
2018-00033981,1,186 Chapin Ave,4,RI Statute Violation,2018-04-05 20:52:00,RSilva,8-6-1,CONTEMPT-SUPERIOR COURT,2018,other_crime,20,52,5,,,,
2018-00033953,1,Barbara St At Glenbridge Ave,4,Traffic Violation,2018-04-05 19:31:00,NManfredi,31-11-18,"Driving after Denial, Suspension or Revocation of License",2018,other_crime,19,31,5,,,,
2018-00033950,1,49 Hall St,4,Burglary,2018-04-05 19:18:00,SMarmas,11-8-2,B&E DWELLING HOUSE W/O CONSENT,2018,property_crime,19,18,5,,,,
2018-00033934,1,61 Marshall St,4,Burglary,2018-04-05 18:02:00,BBoudreau,11-8-2,B&E DWELLING HOUSE W/O CONSENT,2018,property_crime,18,2,5,,,,
2018-00033930,1,27 Fillmore St,4,"Assault, Simple",2018-04-05 17:49:00,KRichards,11-5-3,SIMPLE ASSAULT/BATTERY,2018,other_crime,17,49,5,,,,
2018-00033920,1,707 Douglas Ave,4,Vandalism,2018-04-05 17:17:00,DLiu,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2018,property_crime,17,17,5,,,,
2018-00033912,1,7 Providence Pl,4,"Larceny, Shoplifting",2018-04-05 16:54:00,MGoddard,11-41-20,SHOPLIFTING-MISD - SHOPLIFTING,2018,property_crime,16,54,5,,,,
2018-00033912,1,7 Providence Pl,4,Vandalism,2018-04-05 16:54:00,MGoddard,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2018,property_crime,16,54,5,,,,
2018-00033910,1,1 N  Main St,4,Larceny from Building,2018-04-05 16:41:57,NField,11-41-1,LARCENY/O $1500 - FROM BLD,2018,property_crime,16,41,5,,,,
2018-00033900,1,28 Eames St,4,"Larceny, Other",2018-04-05 15:56:07,MGammino,11-41-1,LARCENY/O $1500 - ALL OTH LARCENY,2018,property_crime,15,56,5,,,,
2018-00033893,3,184 Peace St,4,Drug Offenses,2018-04-05 15:51:00,SLafferty,21-28-4.01-A2A,MANUFAC/POSS/DELIVER SCH 1/II,2018,other_crime,15,51,5,,,,
2018-00033893,1,184 Peace St,4,Weapons,2018-04-05 15:51:00,SLafferty,11-47-3,CARRY DANG. WEAPONS/SUB WHEN IN CRIME VIOL,2018,other_crime,15,51,5,,,,
2018-00033878,1,850 Manton Ave,4,"Fraud, Swindle",2018-04-05 15:21:00,Central Station,11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,2018,other_crime,15,21,5,,,,
2018-00033867,1,Exchange Terrace ,4,Warrant\Capias,2018-04-05 15:07:00,MMulligan,BWARRANT-6D,BENCH WARRANT ISSUED FROM 6TH DISTRICT COURT,2018,other_crime,15,7,5,,,,
2018-00033867,1,Exchange Terrace ,4,Traffic Violation,2018-04-05 15:07:00,MMulligan,31-11-18,"Driving after Denial, Suspension or Revocation of License",2018,other_crime,15,7,5,,,,
2018-00033870,1,850 Manton Ave,4,"Larceny, Shoplifting",2018-04-05 14:58:00,JSalmeron,11-41-20,SHOPLIFTING-MISD - SHOPLIFTING,2018,property_crime,14,58,5,,,,
2018-00033846,1,482 Pleasant Valley Pkwy,4,"Assault, Simple",2018-04-05 13:35:00,JAndrade,11-5-3,SIMPLE ASSAULT/BATTERY,2018,other_crime,13,35,5,,,,
2018-00033846,1,482 Pleasant Valley Pkwy,4,RI Statute Violation,2018-04-05 13:35:00,JAndrade,11-59-3,VIOLATION OF RESTRAINING ORDER,2018,other_crime,13,35,5,,,,
