casenumber,counts,location,month,offense_desc,reported_date,reporting_officer,statute_code,statute_desc,year,offense_cat,hour,minute,day,lat,lon,neighborhood
2018-00034009,0,64 Dartmouth Ave,4,Missing Persons,2018-04-05 22:58:00,Central Station,Not Used,No violations,2018,other_crime,22,58,5,,,
2018-00034008,0,24 Tappan St,4,Missing Persons,2018-04-05 22:56:00,Central Station,Not Used,No violations,2018,other_crime,22,56,5,,,
2018-00033994,0,64 Dartmouth Ave,4,Missing Persons,2018-04-05 21:52:00,Central Station,Not Used,No violations,2018,other_crime,21,52,5,,,
2018-00033949,0,58 Diamond St,4,Request for Assistance,2018-04-05 19:07:00,Central Station,Not Used,No violations,2018,other_crime,19,7,5,,,
2018-00033916,0,64 Dartmouth Ave,4,Missing Persons,2018-04-05 17:12:00,Central Station,Not Used,No violations,2018,other_crime,17,12,5,,,
2018-00033897,0,58 Dartmouth Ave,4,Missing Persons,2018-04-05 16:06:00,Central Station,Not Used,No violations,2018,other_crime,16,6,5,,,
2018-00033883,0,1477 Broad St,4,Lost Article,2018-04-05 15:27:00,Central Station,Not Used,No violations,2018,other_crime,15,27,5,,,
2018-00033847,0,160 Broad St,4,Disturbance,2018-04-05 13:50:46,TRichards,Not Used,No violations,2018,other_crime,13,50,5,,,
2018-00033795,0,3 What Cheer Ave,4,Request for Assistance,2018-04-05 11:12:39,JKane,Not Used,No violations,2018,other_crime,11,12,5,,,
2018-00033667,0,140 New York Ave,4,Assistance Rendered,2018-04-05 00:59:09,PHourahan,Not Used,No violations,2018,other_crime,0,59,5,,,
2018-00033628,0,139 Camden Ave,4,Medical Aid,2018-04-04 21:39:00,PHourahan,Not Used,No violations,2018,other_crime,21,39,4,,,
2018-00033608,0,182 Thurbers Ave,4,Request for Assistance,2018-04-04 21:20:00,Central Station,Not Used,No violations,2018,other_crime,21,20,4,,,
2018-00033570,0,64 Dartmouth Ave,4,Missing Persons,2018-04-04 19:07:00,Central Station,Not Used,No violations,2018,other_crime,19,7,4,,,
2018-00033548,0,142 Burnett St,4,Juvenile Matter,2018-04-04 18:04:00,TLambert,Not Used,No violations,2018,other_crime,18,4,4,,,
2018-00033544,0,24 Tappan St,4,Missing Persons,2018-04-04 17:47:00,Central Station,Not Used,No violations,2018,other_crime,17,47,4,,,
2018-00033527,0,144 Hanover St,4,Assistance Rendered,2018-04-04 16:43:00,LPelaez,Not Used,No violations,2018,other_crime,16,43,4,,,
2018-00033523,0,1450 Broad St,4,Juvenile Matter,2018-04-04 16:29:12,JCotugno,Not Used,No violations,2018,other_crime,16,29,4,,,
