,Unnamed: 0,Unnamed: 0.1,casenumber,counts,day,hour,lat,location,lon,minute,month,offense_desc,reported_date,reporting_officer,statute_code,statute_desc,year
0,0,,2017-00111938,1,25,12,41.81067575,88 Ellery St,-71.4381505,50,10,Traffic Violation,2017-10-25 12:50:00,MMena-Torres,31-3-1,Parking or MV Violation,2017
1,1,,2017-00111938,1,25,12,-71.4381505,88 Ellery St,41.81067575,50,10,Traffic Violation,2017-10-25 12:50:00,MMena-Torres,31-3-1,Parking or MV Violation,2017
2,5,,2017-00112135,1,25,20,41.8367646,539 Smith St,-71.4291035,30,10,Weapons,2017-10-25 20:30:29,VPazzetta,11-47-42,WEAPONS OTHER THAN FIREARMS PROHIBITED,2017
3,6,,2017-00119459,1,13,9,41.7986237,960 Broad St,-71.41445859999997,6,11,Vandalism,2017-11-13 09:06:59,RChin,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2017
4,7,,2017-00130714,1,13,21,41.8168094,111 Merino St,-71.45828409999999,47,12,Traffic Violation,2017-12-13 21:47:00,CVingi,31-11-18,"Driving after Denial, Suspension or Revocation of License",2017
5,9,,2018-00007969,1,23,15,41.8514430594,10 Monticello St,-71.421417835,28,1,Weapons,2018-01-23 15:28:00,ZSilbert,11-47-5,POSS OF ARMS BY CONVICT IN CRIME OF VIOL/FUGITIVE,2018
6,10,,2018-00007969,1,23,15,-71.421417835,10 Monticello St,41.8514430594,28,1,Weapons,2018-01-23 15:28:00,ZSilbert,11-47-5,POSS OF ARMS BY CONVICT IN CRIME OF VIOL/FUGITIVE,2018
7,2,,2018-00014529,1,10,10,41.836975,188 Douglas Ave,-71.4223542,35,2,Larceny from Motor Vehicle,2018-02-10 10:35:00,Central Station,11-41-1,LARCENY/U $1500 - FROM MV,2018
8,8,,2018-00020122,1,25,16,41.8346874,825 Chalkstone Ave,-71.43507659999999,33,2,Larceny from Building,2018-02-25 16:33:00,GScarcello,11-41-1,LARCENY/U $1500 - FROM BLD,2018
9,11,,2018-00020134,1,25,17,,Bridgham St At Cranston St,,14,2,Traffic Violation,2018-02-25 17:14:00,MTroia,31-3-1,Operation of Unregistered Vehicle,2018
10,3,,2018-00020241,1,26,0,41.8204462506,21 Middleton St,-71.4669756255,25,2,"Assault, Simple",2018-02-26 00:25:00,PCaminero,11-5-3,SIMPLE ASSAULT/BATTERY,2018
11,4,,2018-00020241,1,26,0,-71.4669756255,21 Middleton St,41.8204462506,25,2,"Assault, Simple",2018-02-26 00:25:00,PCaminero,11-5-3,SIMPLE ASSAULT/BATTERY,2018
12,12,,2018-00025915,1,13,11,41.8077324,147 Althea St,-71.4342523,55,3,Burglary,2018-03-13 11:55:02,TGomes,11-8-1,BURGLARY,2018
13,0,0.0,2017-00111938,1,25,12,41.81067575,88 Ellery St,-71.4381505,50,10,Traffic Violation,2017-10-25 12:50:00,MMena-Torres,31-3-1,Parking or MV Violation,2017
