casenumber,counts,day,hour,lat,location,lon,minute,month,neighborhood,offense_cat,offense_desc,reported_date,reporting_officer,statute_code,statute_desc,year
2018-00034009,0,5,22,33.76923729999999,64 Dartmouth Ave,-84.26882490000001,58,4,Avondale Estates,other_crime,Missing Persons,2018-04-05 22:58:00,Central Station,Not Used,No violations,2018
2018-00034009,0,5,22,33.76923729999999,64 Dartmouth Ave,-84.26882490000001,58,4,Avondale Estates,other_crime,Missing Persons,2018-04-05 22:58:00,Central Station,Not Used,No violations,2018
2018-00034009,0,5,22,33.76923729999999,64 Dartmouth Ave,-84.26882490000001,58,4,Avondale Estates,other_crime,Missing Persons,2018-04-05 22:58:00,Central Station,Not Used,No violations,2018
2018-00034009,0,5,22,33.76923729999999,64 Dartmouth Ave,-84.26882490000001,58,4,Avondale Estates,other_crime,Missing Persons,2018-04-05 22:58:00,Central Station,Not Used,No violations,2018
2018-00034009,0,5,22,41.82126820000001,64 Dartmouth Ave,-71.4036453,58,4,,other_crime,Missing Persons,2018-04-05 22:58:00,Central Station,Not Used,No violations,2018
2018-00034009,0,5,22,33.76923729999999,64 Dartmouth Ave,-84.26882490000001,58,4,Avondale Estates,other_crime,Missing Persons,2018-04-05 22:58:00,Central Station,Not Used,No violations,2018
2018-00034009,0,5,22,33.76923729999999,64 Dartmouth Ave,-84.26882490000001,58,4,Avondale Estates,other_crime,Missing Persons,2018-04-05 22:58:00,Central Station,Not Used,No violations,2018
2018-00034008,0,5,22,40.7546608,24 Tappan St,-74.15259940000001,56,4,Kearny,other_crime,Missing Persons,2018-04-05 22:56:00,Central Station,Not Used,No violations,2018
2018-00034008,0,5,22,40.754660799999996,24 Tappan St,-74.15259940000001,56,4,Kearny,other_crime,Missing Persons,2018-04-05 22:56:00,Central Station,Not Used,No violations,2018
2018-00034008,0,5,22,40.7546608,24 Tappan St,-74.15259940000001,56,4,Kearny,other_crime,Missing Persons,2018-04-05 22:56:00,Central Station,Not Used,No violations,2018
2018-00034008,0,5,22,41.82126820000001,24 Tappan St,-71.4036453,56,4,,other_crime,Missing Persons,2018-04-05 22:56:00,Central Station,Not Used,No violations,2018
2018-00034008,0,5,22,40.7546608,24 Tappan St,-74.15259940000001,56,4,Kearny,other_crime,Missing Persons,2018-04-05 22:56:00,Central Station,Not Used,No violations,2018
2018-00034008,0,5,22,40.754660799999996,24 Tappan St,-74.15259940000001,56,4,Kearny,other_crime,Missing Persons,2018-04-05 22:56:00,Central Station,Not Used,No violations,2018
2018-00034008,0,5,22,40.754660799999996,24 Tappan St,-74.15259940000001,56,4,Kearny,other_crime,Missing Persons,2018-04-05 22:56:00,Central Station,Not Used,No violations,2018
2018-00033994,0,5,21,33.76923729999999,64 Dartmouth Ave,-84.26882490000001,52,4,Avondale Estates,other_crime,Missing Persons,2018-04-05 21:52:00,Central Station,Not Used,No violations,2018
2018-00033994,0,5,21,33.76923729999999,64 Dartmouth Ave,-84.26882490000001,52,4,Avondale Estates,other_crime,Missing Persons,2018-04-05 21:52:00,Central Station,Not Used,No violations,2018
2018-00033994,0,5,21,33.76923729999999,64 Dartmouth Ave,-84.26882490000001,52,4,Avondale Estates,other_crime,Missing Persons,2018-04-05 21:52:00,Central Station,Not Used,No violations,2018
2018-00033994,0,5,21,33.76923729999999,64 Dartmouth Ave,-84.26882490000001,52,4,Avondale Estates,other_crime,Missing Persons,2018-04-05 21:52:00,Central Station,Not Used,No violations,2018
2018-00033994,0,5,21,33.76923729999999,64 Dartmouth Ave,-84.26882490000001,52,4,Avondale Estates,other_crime,Missing Persons,2018-04-05 21:52:00,Central Station,Not Used,No violations,2018
2018-00033994,0,5,21,41.82126820000001,64 Dartmouth Ave,-71.4036453,52,4,,other_crime,Missing Persons,2018-04-05 21:52:00,Central Station,Not Used,No violations,2018
2018-00033994,0,5,21,33.76923729999999,64 Dartmouth Ave,-84.26882490000001,52,4,Avondale Estates,other_crime,Missing Persons,2018-04-05 21:52:00,Central Station,Not Used,No violations,2018
2018-00033949,0,5,19,40.72472310000001,58 Diamond St,-73.9461656,7,4,Greenpoint,other_crime,Request for Assistance,2018-04-05 19:07:00,Central Station,Not Used,No violations,2018
2018-00033949,0,5,19,40.724723100000006,58 Diamond St,-73.9461656,7,4,Greenpoint,other_crime,Request for Assistance,2018-04-05 19:07:00,Central Station,Not Used,No violations,2018
2018-00033949,0,5,19,40.72472310000001,58 Diamond St,-73.9461656,7,4,Greenpoint,other_crime,Request for Assistance,2018-04-05 19:07:00,Central Station,Not Used,No violations,2018
2018-00033949,0,5,19,40.72472310000001,58 Diamond St,-73.9461656,7,4,Greenpoint,other_crime,Request for Assistance,2018-04-05 19:07:00,Central Station,Not Used,No violations,2018
2018-00033949,0,5,19,40.72472310000001,58 Diamond St,-73.9461656,7,4,Greenpoint,other_crime,Request for Assistance,2018-04-05 19:07:00,Central Station,Not Used,No violations,2018
2018-00033949,0,5,19,40.72472310000001,58 Diamond St,-73.9461656,7,4,Greenpoint,other_crime,Request for Assistance,2018-04-05 19:07:00,Central Station,Not Used,No violations,2018
2018-00033949,0,5,19,41.7870637,58 Diamond St,-71.3972345,7,4,,other_crime,Request for Assistance,2018-04-05 19:07:00,Central Station,Not Used,No violations,2018
2018-00033916,0,5,17,33.76923729999999,64 Dartmouth Ave,-84.26882490000001,12,4,Avondale Estates,other_crime,Missing Persons,2018-04-05 17:12:00,Central Station,Not Used,No violations,2018
2018-00033916,0,5,17,33.76923729999999,64 Dartmouth Ave,-84.26882490000001,12,4,Avondale Estates,other_crime,Missing Persons,2018-04-05 17:12:00,Central Station,Not Used,No violations,2018
2018-00033916,0,5,17,41.8434823,64 Dartmouth Ave,-71.4041507,12,4,,other_crime,Missing Persons,2018-04-05 17:12:00,Central Station,Not Used,No violations,2018
2018-00033916,0,5,17,33.76923729999999,64 Dartmouth Ave,-84.26882490000001,12,4,Avondale Estates,other_crime,Missing Persons,2018-04-05 17:12:00,Central Station,Not Used,No violations,2018
2018-00033916,0,5,17,33.76923729999999,64 Dartmouth Ave,-84.26882490000001,12,4,Avondale Estates,other_crime,Missing Persons,2018-04-05 17:12:00,Central Station,Not Used,No violations,2018
2018-00033916,0,5,17,33.76923729999999,64 Dartmouth Ave,-84.26882490000001,12,4,Avondale Estates,other_crime,Missing Persons,2018-04-05 17:12:00,Central Station,Not Used,No violations,2018
2018-00033916,0,5,17,33.76923729999999,64 Dartmouth Ave,-84.26882490000001,12,4,Avondale Estates,other_crime,Missing Persons,2018-04-05 17:12:00,Central Station,Not Used,No violations,2018
