LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-71.4037826,41.7872991,23,FARRAGUT AV,,PROVIDENCE,,,,259020,dcd2c799afee5bd0
-71.4207353,41.7779288,1230,ELMWOOD AV,,PROVIDENCE,,,,259234,e26186adfc1182b5
-71.3949643,41.7872693,153,ALABAMA AV,,PROVIDENCE,,,,259210,90a298f5b25188ff
-71.4212721,41.7778545,1237,ELMWOOD AV,,PROVIDENCE,,,,259240,36ec479277f8653d
-71.4018052,41.7865483,1500,BROAD ST,,PROVIDENCE,,,,259340,584ab02f05235ae1
-71.4214719,41.7771973,1253,ELMWOOD AV,,PROVIDENCE,,,,259238,945d73d8d344ba69
-71.3949234,41.7869429,1002,NARRAGANSETT BLVD,,PROVIDENCE,,,,259425,8bde3d4b91f680ed
-71.4030204,41.787299,1469,BROAD ST,,PROVIDENCE,,,,259372,94b941dfc9df5c78
-71.3923832,41.786754,321,HARBORSIDE BLVD,,PROVIDENCE,,,,259465,0651acea24cbe790
-71.4006639,41.7838615,331,NARRAGANSETT ST,,CRANSTON,,,,65363,0164ffe52e49eac5
-71.3949538,41.7834621,131,ARMINGTON ST,,CRANSTON,,,,65374,3f7b8e4bedb76db6
-71.3945402,41.7838564,1079,NARRAGANSETT BLVD,,CRANSTON,,,,65388,8074fafa06f0a484
-71.3949575,41.7853475,1031,NARRAGANSETT BLVD,,CRANSTON,,,,65390,46fa4e3c1369bac6
-71.3988332,41.7806414,73,WHEELER AV,,CRANSTON,,,,65397,773daa94b4717a20
-71.3955979,41.784619,203,BAY VIEW AV,,CRANSTON,,,,65379,ccc766049e4747e8
-71.3991917,41.7806814,81,WHEELER AV,,CRANSTON,,,,65395,f67eacf407611d85
-71.4000229,41.7818046,143,WENTWORTH AV,,CRANSTON,,,,65409,6d6a8b30b28a7d6f
-71.3973339,41.7816212,143,PAWTUXET AV,,CRANSTON,,,,65412,adcddb013d86bab7
