casenumber,counts,location,month,offense_desc,reported_date,reporting_officer,statute_code,statute_desc,year,offense_cat,city,lat,lon,neighborhood
2018-00034837,1,1 W Exchange St,4,Disorderly Conduct,2018-04-08 03:15:00,KCoogan,11-45-1,DISORDERLY CONDUCT,2018,other_crime,Providence,41.8251262,-71.4171345,Downtown Providence
2018-00034833,1,157 Webster Ave,4,RI Statute Violation,2018-04-08 02:49:00,MPlace,11-59-3,VIOLATION OF RESTRAINING ORDER,2018,other_crime,Providence,41.8114289,-71.4499869,Silver Lake
2018-00034821,1,153 Benefit St,4,DUI,2018-04-08 02:19:00,CVingi,31-27-2,Driving Under the Influence of Liqour or Drugs (=>.08<.1),2018,other_crime,Providence,41.8291968,-71.4082299,College Hill
2018-00034821,1,153 Benefit St,4,DUI,2018-04-08 02:19:00,CVingi,31-27-2.1,Chemical Test Refusal,2018,other_crime,Providence,41.8291968,-71.4082299,College Hill
2018-00034821,1,153 Benefit St,4,Drug Offenses,2018-04-08 02:19:00,CVingi,21-28-4.01-C2-(iii),POSSESSION OF MARIJUANA 1OZ OR LESS OVER 18 YEARS OF AGE,2018,other_crime,Providence,41.8291968,-71.4082299,College Hill
2018-00034820,1,381 Smith St,4,"Assault, Simple",2018-04-08 02:18:00,JLeroux,11-5-3,SIMPLE ASSAULT/BATTERY,2018,other_crime,Providence,41.834819,-71.4242079,Smith Hill
2018-00034800,1,100 Dorrance St,4,"Assault, Simple",2018-04-08 01:06:00,ADiaz,11-5-3,SIMPLE ASSAULT OR BATTERY,2018,other_crime,Providence,41.823027,-71.4103477,Downtown Providence
2018-00034795,1,223 Oakland Ave,4,Liquor Law Violations,2018-04-08 00:54:00,YGonzalez,3-8-10,POSSESSION OF BEVERAGE-UNDERAGE PERSONS,2018,other_crime,Providence,41.84032,-71.428595,Elmhurst
2018-00034792,1,55 Eaton St,4,Liquor Law Violations,2018-04-08 00:49:00,SMarmas,3-8-10,POSSESSION OF BEVERAGE-UNDERAGE PERSONS,2018,other_crime,Providence,41.84129060000001,-71.4295242,Wanskuck
2018-00034784,1,40 Dorchester Ave,4,Traffic Violation,2018-04-08 00:24:00,LVadney,31-15-1,Right Half of Road,2018,other_crime,Providence,41.811934,-71.451931,Silver Lake
